dzongkhag,mean_monthly_gwh,peak_month,seasonal_amplitude_ratio,data_driven_group
SAMDRUPJONGKHAR,0.3511109515151516,9,0.49911180540755257,Summer-peaking
SAMTSE,0.17419024704545452,9,0.4203467935783751,Summer-peaking
SARPANG,0.5022439919791667,9,0.4726054543024697,Summer-peaking
CHUKHA,1.4589404844696967,10,0.13212129515598475,Weakly seasonal
BUMTHANG,0.2006882203787879,1,0.29997028984929214,Winter-peaking
DAGANA,0.026847068181818184,1,0.5992966897519705,Winter-peaking
HAA,0.07128759166666666,12,0.3893093682067008,Winter-peaking
LHUENTSE,0.0534157803030303,1,0.5035855736082984,Winter-peaking
MONGAR,0.2736656200757576,1,0.44525342464180634,Winter-peaking
PARO,0.1354933965909091,1,0.8709705099767989,Winter-peaking
PEMAGATSHEL,0.09622343310606062,1,0.2815161927926303,Winter-peaking
PUNAKHA,0.17787803696969698,1,0.539800931220967,Winter-peaking
THIMPHU,9.109502946446971,2,0.9550360265298156,Winter-peaking
TRASHIGANG,0.1700464559848485,1,0.3309423653536808,Winter-peaking
TRASHIYANGTSE,0.10823977068181818,1,0.5207900151958723,Winter-peaking
TRONGSA,0.10010168939393939,1,0.7122728849292118,Winter-peaking
TSIRANG,0.10704679053030304,1,0.6583351721579892,Winter-peaking
WANGDUE PHODRANG,0.24881962878787878,1,0.574135981610873,Winter-peaking
ZHEMGANG,0.08811931098484849,1,0.31254614455424495,Winter-peaking
