dzongkhag,Holt-Winters,SARIMA,Seasonal Naive,Best Model
BUMTHANG,0.036804718129844746,0.03256664448991458,0.04795058276793378,SARIMA
CHUKHA,0.1300398943749758,0.12202134267183029,0.12595592504579492,Seasonal Naive
DAGANA,0.004596618826529679,0.003785436705171796,0.0023926359940450604,Seasonal Naive
HAA,0.00990895679114399,0.009870227035474114,0.010510844590231556,SARIMA
LHUENTSE,0.009093981750330845,0.009203819265379925,0.008245505958220515,Seasonal Naive
MONGAR,0.020678144596077655,0.016809573377490727,0.01769572244118524,SARIMA
PARO,0.03231301153760062,0.030880740398257556,0.03770633489725301,SARIMA
PEMAGATSHEL,0.010012862899536895,0.011441199819240013,0.0386963713501236,Holt-Winters
PUNAKHA,0.008134599385053596,0.012817018104071516,0.024133278368353734,Holt-Winters
SAMDRUPJONGKHAR,0.0537150467753688,0.039575711949796005,0.03959624569713165,Seasonal Naive
SAMTSE,0.024293615916446305,0.02024491049850143,0.02856972122332269,SARIMA
THIMPHU,0.758254428055121,0.49087585748839885,1.187442791451929,SARIMA
TRASHIGANG,0.014934407715317899,0.00789956691028777,0.011042222444631563,SARIMA
TRASHIYANGTSE,0.028604671053858523,0.028042705183983614,0.02645767696454015,Seasonal Naive
TRONGSA,0.011933167467676966,0.009638682251234675,0.009188011601043867,Seasonal Naive
TSIRANG,0.009466180288302163,0.012275283689081627,0.009629396078179479,Seasonal Naive
WANGDUE PHODRANG,0.016731663510601482,0.018640521994573913,0.017834738224123632,Holt-Winters
ZHEMGANG,0.006585307106149512,0.006878783003706261,0.00708396234326348,Holt-Winters
SARPANG,,,,Seasonal Naive (2026 only; 2025 test unavailable)
