dzongkhag,validation_year,model,RMSE,MAE,MAPE,MASE
BUMTHANG,2022,Seasonal Naive,0.029230388073385204,0.023581893333333336,10.474794322550359,1.5501442297342283
BUMTHANG,2022,Holt-Winters,0.015522258760445891,0.012530332371277942,5.249555335040313,0.8236752726946088
BUMTHANG,2022,SARIMA,0.023159279327675402,0.016253176205930458,7.382050691819453,1.0683945921705786
BUMTHANG,2023,Seasonal Naive,0.018411860215203676,0.013645844999999998,5.493354726500708,0.8316424771430739
BUMTHANG,2023,Holt-Winters,0.016225193293390876,0.014883519086922932,6.634346044741222,0.9070722027148052
BUMTHANG,2023,SARIMA,0.021601680896182602,0.018999646365983395,8.63917861590285,1.1579285100079062
BUMTHANG,2024,Seasonal Naive,0.027251261415231768,0.02168475499999999,8.02064600474405,1.3499817048487048
BUMTHANG,2024,Holt-Winters,0.021134761724723124,0.016777283090167485,6.388895078026213,1.0444676561387787
BUMTHANG,2024,SARIMA,0.020922229161184223,0.01773485453745047,6.9587663267063675,1.1040811465802214
CHUKHA,2022,Seasonal Naive,0.154045260195909,0.11579767416666666,7.747965672294336,1.154619333155166
CHUKHA,2022,Holt-Winters,0.09287803945407645,0.07476579907909664,5.028701096128219,0.7454902501001127
CHUKHA,2022,SARIMA,0.13962593405140283,0.12063353813448568,8.125402292816357,1.2028377630151292
CHUKHA,2023,Seasonal Naive,0.10292763432426769,0.08869411249999996,5.77280532525735,0.8652573343030827
CHUKHA,2023,Holt-Winters,0.09620267425001736,0.08336525434923835,5.320847371386314,0.8132715432686749
CHUKHA,2023,SARIMA,0.11550903994205394,0.1003788309675152,6.410858453954129,0.9792478582319876
CHUKHA,2024,Seasonal Naive,0.12638451851053767,0.10573735500000005,6.380715247516316,1.0491944627610315
CHUKHA,2024,Holt-Winters,0.10626117453437176,0.09633951441939276,5.809371814351592,0.9559430068391003
CHUKHA,2024,SARIMA,0.0954226957114913,0.08504958355378928,5.130024748474013,0.8439170066696614
